Experiment,Kamera,HVS_lD,SceneID,weight,Basisszenario,FS-Art,FS-Aufkommen,FS-Geschwindigkeit,RVA-Breite,RVA-Lage,RVA-Oberfläche,Tr_li-Breite,Tr_li-Markierung,Tr_li-baulTrennung,Tr_re-Breite,Tr_re-Markierung,Parken,Raus
MS,C,66,01_MS_C_66,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,67,01_MS_C_67,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,68,01_MS_C_68,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,69,01_MS_C_69,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,70,01_MS_C_70,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,71,01_MS_C_71,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,72,01_MS_C_72,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,73,01_MS_C_73,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,74,01_MS_C_74,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,75,01_MS_C_75,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,76,01_MS_C_76,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,77,01_MS_C_77,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,78,01_MS_C_78,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,79,01_MS_C_79,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,80,01_MS_C_80,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,89,01_MS_C_89,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,90,01_MS_C_90,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,91,01_MS_C_91,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,92,01_MS_C_92,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,93,01_MS_C_93,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,94,01_MS_C_94,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,95,01_MS_C_95,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,96,01_MS_C_96,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,97,01_MS_C_97,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,-,0.0,-,-,
MS,C,98,01_MS_C_98,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,-,0.0,-,-,
MS,C,99,01_MS_C_99,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,-,0.0,-,-,
MS,C,100,01_MS_C_100,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,-,0.0,-,-,
MS,C,101,01_MS_C_101,1,2,Kfz,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,102,01_MS_C_102,1,2,Kfz,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,103,01_MS_C_103,1,2,Kfz,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,104,01_MS_C_104,1,2,Kfz,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,107,01_MS_C_107,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,unterbrochen,-,0.0,-,-,
MS,C,108,01_MS_C_108,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,unterbrochen,-,0.0,-,-,
MS,C,111,01_MS_C_111,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,unterbrochen,-,0.0,-,-,
MS,C,112,01_MS_C_112,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,unterbrochen,-,0.0,-,-,
MS,C,115,01_MS_C_115,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,-,0.0,-,-,
MS,C,116,01_MS_C_116,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,-,0.0,-,-,
MS,C,119,01_MS_C_119,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,-,0.0,-,-,
MS,C,120,01_MS_C_120,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,-,0.0,-,-,
MS,C,123,01_MS_C_123,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Doppellinie,-,0.0,-,-,
MS,C,124,01_MS_C_124,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Doppellinie,-,0.0,-,-,
MS,C,127,01_MS_C_127,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Doppellinie,-,0.0,-,-,
MS,C,128,01_MS_C_128,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Doppellinie,-,0.0,-,-,
MS,C,131,01_MS_C_131,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,-,0.0,-,-,
MS,C,132,01_MS_C_132,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,-,0.0,-,-,
MS,C,135,01_MS_C_135,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,-,0.0,-,-,
MS,C,136,01_MS_C_136,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,-,0.0,-,-,
MS,C,147,01_MS_C_147,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-hoch,0.0,-,-,
MS,C,148,01_MS_C_148,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-hoch,0.0,-,-,
MS,C,151,01_MS_C_151,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-hoch,0.0,-,-,
MS,C,152,01_MS_C_152,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-hoch,0.0,-,-,
MS,C,155,01_MS_C_155,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Doppellinie,Sperrpfosten-niedrig,0.0,-,-,
MS,C,156,01_MS_C_156,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Doppellinie,Sperrpfosten-niedrig,0.0,-,-,
MS,C,159,01_MS_C_159,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Doppellinie,Sperrpfosten-niedrig,0.0,-,-,
MS,C,160,01_MS_C_160,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Doppellinie,Sperrpfosten-niedrig,0.0,-,-,
MS,C,163,01_MS_C_163,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,164,01_MS_C_164,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,167,01_MS_C_167,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,168,01_MS_C_168,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,171,01_MS_C_171,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,172,01_MS_C_172,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,175,01_MS_C_175,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,176,01_MS_C_176,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,187,01_MS_C_187,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,188,01_MS_C_188,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,191,01_MS_C_191,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,192,01_MS_C_192,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
MS,C,195,01_MS_C_195,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,-,0.0,-,-,
MS,C,196,01_MS_C_196,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,-,0.0,-,-,
MS,C,199,01_MS_C_199,1,2,Einbahn,viel,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,200,01_MS_C_200,1,2,Einbahn,viel,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig Schraffur,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,201,01_MS_C_201,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,unterbrochen,-,0.0,-,-,
MS,C,202,01_MS_C_202,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,unterbrochen,-,0.0,-,-,
MS,C,205,01_MS_C_205,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,unterbrochen,-,0.0,-,-,
MS,C,206,01_MS_C_206,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,unterbrochen,-,0.0,-,-,
MS,C,209,01_MS_C_209,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,-,0.0,-,-,
MS,C,210,01_MS_C_210,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,-,0.0,-,-,
MS,C,213,01_MS_C_213,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,-,0.0,-,-,
MS,C,214,01_MS_C_214,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,-,0.0,-,-,
MS,C,217,01_MS_C_217,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Doppellinie,-,0.0,-,-,
MS,C,218,01_MS_C_218,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Doppellinie,-,0.0,-,-,
MS,C,221,01_MS_C_221,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Doppellinie,-,0.0,-,-,
MS,C,222,01_MS_C_222,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Doppellinie,-,0.0,-,-,
MS,C,225,01_MS_C_225,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,-,0.0,-,-,
MS,C,226,01_MS_C_226,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,-,0.0,-,-,
MS,C,229,01_MS_C_229,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,-,0.0,-,-,
MS,C,230,01_MS_C_230,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,-,0.0,-,-,
MS,C,241,01_MS_C_241,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-hoch,0.0,-,-,
MS,C,242,01_MS_C_242,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-hoch,0.0,-,-,
MS,C,245,01_MS_C_245,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-hoch,0.0,-,-,
MS,C,246,01_MS_C_246,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-hoch,0.0,-,-,
MS,C,249,01_MS_C_249,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Doppellinie,Sperrpfosten-niedrig,0.0,-,-,
MS,C,250,01_MS_C_250,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Doppellinie,Sperrpfosten-niedrig,0.0,-,-,
MS,C,253,01_MS_C_253,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Doppellinie,Sperrpfosten-niedrig,0.0,-,-,
MS,C,254,01_MS_C_254,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Doppellinie,Sperrpfosten-niedrig,0.0,-,-,
MS,C,257,01_MS_C_257,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,258,01_MS_C_258,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,261,01_MS_C_261,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,262,01_MS_C_262,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.75,Sperrfläche,Sperrpfosten-niedrig,0.0,-,-,
MS,C,265,01_MS_C_265,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,266,01_MS_C_266,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,269,01_MS_C_269,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,270,01_MS_C_270,1,2,Tram,normal,30,2.0,FS-Parken/Seitenraum,Asphalt-Farbig,0.25,durchgezogen,Sperrpfosten-niedrig,0.0,-,-,
MS,C,281,01_MS_C_281,1,2,Tram,normal,50,2.0,FS-Parken/Seitenraum,Asphalt,0.75,Sperrfläche,Blumenkasten,0.0,-,-,
