Experiment,Kamera,NVS_lD,SceneID,weight,Basisszenario,FS-Art,besondere Merkmale,FS-Breite,Parken,Verkehrsaufkommen,raus
SE,C,23,01_SE_C_23,6,2,KFZ,Spielstraße,breit,Parken-einseitig,normal,
SE,C,24,01_SE_C_24,6,2,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,
SE,C,26,01_SE_C_26,6,2,KFZ,-,breit,Parken-einseitig,autofrei,
SE,C,27,01_SE_C_27,6,2,KFZ,Fahrradstraße,breit,Parken-einseitig,autofrei,
SE,C,28,01_SE_C_28,6,2,KFZ,Spielstraße,breit,Parken-einseitig,autofrei,
SE,C,29,01_SE_C_29,6,2,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,autofrei,
SE,C,30,01_SE_C_30,6,2,KFZ,Fahrradstraße-Hollandaise,breit,Parken-einseitig,autofrei,
SE,C,31,01_SE_C_31,6,2,Einbahnstraße,-,breit,Parken-einseitig,normal,
SE,C,32,01_SE_C_32,6,2,Einbahnstraße,Fahrradstraße,breit,Parken-einseitig,normal,
SE,C,33,01_SE_C_33,6,2,Einbahnstraße,Spielstraße,breit,Parken-einseitig,normal,
SE,C,34,01_SE_C_34,6,2,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,
SE,C,36,01_SE_C_36,6,2,Einbahnstraße-Gegenverkehr,-,breit,Parken-einseitig,normal,
SE,C,37,01_SE_C_37,6,2,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,Parken-einseitig,normal,
SE,C,38,01_SE_C_38,6,2,Einbahnstraße-Gegenverkehr,Spielstraße,breit,Parken-einseitig,normal,
SE,C,39,01_SE_C_39,6,2,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,Parken-einseitig,normal,
SE,C,41,01_SE_C_41,6,3,KFZ,-,breit,Parken-beidseitig,normal,
SE,C,42,01_SE_C_42,6,3,KFZ,Fahrradstraße,breit,Parken-beidseitig,normal,
SE,C,43,01_SE_C_43,6,3,KFZ,Spielstraße,breit,Parken-beidseitig,normal,
SE,C,44,01_SE_C_44,6,3,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,
SE,C,46,01_SE_C_46,6,3,KFZ,-,breit,Parken-beidseitig,autofrei,
SE,C,47,01_SE_C_47,6,3,KFZ,Fahrradstraße,breit,Parken-beidseitig,autofrei,
SE,C,48,01_SE_C_48,6,3,KFZ,Spielstraße,breit,Parken-beidseitig,autofrei,
SE,C,49,01_SE_C_49,6,3,KFZ,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,autofrei,
SE,C,50,01_SE_C_50,6,3,KFZ,Fahrradstraße-Hollandaise,breit,Parken-beidseitig,autofrei,
SE,C,51,01_SE_C_51,6,3,Einbahnstraße,-,breit,Parken-beidseitig,normal,
SE,C,52,01_SE_C_52,6,3,Einbahnstraße,Fahrradstraße,breit,Parken-beidseitig,normal,
SE,C,53,01_SE_C_53,6,3,Einbahnstraße,Spielstraße,breit,Parken-beidseitig,normal,
SE,C,54,01_SE_C_54,6,3,Einbahnstraße,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,
SE,C,56,01_SE_C_56,6,3,Einbahnstraße-Gegenverkehr,-,breit,Parken-beidseitig,normal,
SE,C,57,01_SE_C_57,6,3,Einbahnstraße-Gegenverkehr,Fahrradstraße,breit,Parken-beidseitig,normal,
SE,C,58,01_SE_C_58,6,3,Einbahnstraße-Gegenverkehr,Spielstraße,breit,Parken-beidseitig,normal,
SE,C,59,01_SE_C_59,6,3,Einbahnstraße-Gegenverkehr,Fahrradstraße-Sondermarkierung,breit,Parken-beidseitig,normal,
SE,C,61,01_SE_C_61,6,4,Einbahnstraße,-,schmal,nein,normal,
SE,C,62,01_SE_C_62,6,4,Einbahnstraße,Fahrradstraße,schmal,nein,normal,
SE,C,63,01_SE_C_63,6,4,Einbahnstraße,Spielstraße,schmal,nein,normal,
